Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 
0000094  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   111    9385    9386  110.00000  110.00000  111.00000    54    9560   53.50000   54.16667   54.50000
0000095  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   111    9385    9386  110.00000  110.33333  111.00000    54    9560   53.50000   54.16667   54.50000
0000096  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   111    9385    9386  110.00000  110.66667  111.00000    54    9560   53.50000   54.16667   54.50000
0000097  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   112    9386    9387  111.00000  111.00000  112.00000    54    9561   53.50000   54.16667   54.50000
0000098  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   112    9386    9387  111.00000  111.33333  112.00000    54    9561   53.50000   54.16667   54.50000
0000099  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   112    9386    9387  111.00000  111.66667  112.00000    54    9561   53.50000   54.16667   54.50000
0000100  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   113    9387    9388  112.00000  112.00000  113.00000    54    9562   53.50000   54.16667   54.50000
0000101  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   113    9387    9388  112.00000  112.33333  113.00000    54    9562   53.50000   54.16667   54.50000
0000102  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   113    9387    9388  112.00000  112.66667  113.00000    54    9562   53.50000   54.16667   54.50000
0000103  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   114    9388    9389  113.00000  113.00000  114.00000    54    9563   53.50000   54.16667   54.50000
0000104  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   114    9388    9389  113.00000  113.33333  114.00000    54    9563   53.50000   54.16667   54.50000
0000105  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   114    9388    9389  113.00000  113.66667  114.00000    54    9563   53.50000   54.16667   54.50000
0000106  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   115    9389    9390  114.00000  114.00000  115.00000    54    9564   53.50000   54.16667   54.50000
0000107  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   115    9389    9390  114.00000  114.33333  115.00000    54    9564   53.50000   54.16667   54.50000
0000108  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   115    9389    9390  114.00000  114.66667  115.00000    54    9564   53.50000   54.16667   54.50000
0000109  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   116    9390    9391  115.00000  115.00000  116.00000    54    9565   53.50000   54.16667   54.50000
0000110  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   116    9390    9391  115.00000  115.33333  116.00000    54    9565   53.50000   54.16667   54.50000
0000111  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   116    9390    9391  115.00000  115.66667  116.00000    54    9565   53.50000   54.16667   54.50000
0000112  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   117    9391    9392  116.00000  116.00000  117.00000    54    9566   53.50000   54.16667   54.50000
0000113  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   117    9391    9392  116.00000  116.33333  117.00000    54    9566   53.50000   54.16667   54.50000
0000114  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   117    9391    9392  116.00000  116.66667  117.00000    54    9566   53.50000   54.16667   54.50000
0000115  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   118    9392    9393  117.00000  117.00000  118.00000    54    9567   53.50000   54.16667   54.50000
0000116  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   118    9392    9393  117.00000  117.33333  118.00000    54    9567   53.50000   54.16667   54.50000
0000117  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   118    9392    9393  117.00000  117.66667  118.00000    54    9567   53.50000   54.16667   54.50000
0000118  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   119    9393    9394  118.00000  118.00000  119.00000    54    9568   53.50000   54.16667   54.50000
0000119  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   119    9393    9394  118.00000  118.33333  119.00000    54    9568   53.50000   54.16667   54.50000
0000120  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   119    9393    9394  118.00000  118.66667  119.00000    54    9568   53.50000   54.16667   54.50000
0000121  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   120    9394    9395  119.00000  119.00000  120.00000    54    9569   53.50000   54.16667   54.50000
0000122  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   120    9394    9395  119.00000  119.33333  120.00000    54    9569   53.50000   54.16667   54.50000
0000123  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   120    9394    9395  119.00000  119.66667  120.00000    54    9569   53.50000   54.16667   54.50000
0000124  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   121    9395    9396  120.00000  120.00000  121.00000    54    9570   53.50000   54.16667   54.50000
0000125  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   121    9395    9396  120.00000  120.33333  121.00000    54    9570   53.50000   54.16667   54.50000
0000126  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   121    9395    9396  120.00000  120.66667  121.00000    54    9570   53.50000   54.16667   54.50000
0000127  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9550    9551  100.00000  100.00000  101.00000    55    9725   54.50000   54.50000   55.50000
0000128  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9550    9551  100.00000  100.33333  101.00000    55    9725   54.50000   54.50000   55.50000
0000129  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9550    9551  100.00000  100.66667  101.00000    55    9725   54.50000   54.50000   55.50000
0000130  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9551    9552  101.00000  101.00000  102.00000    55    9726   54.50000   54.50000   55.50000
0000131  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9551    9552  101.00000  101.33333  102.00000    55    9726   54.50000   54.50000   55.50000
0000132  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9551    9552  101.00000  101.66667  102.00000    55    9726   54.50000   54.50000   55.50000
0000133  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9552    9553  102.00000  102.00000  103.00000    55    9727   54.50000   54.50000   55.50000
0000134  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9552    9553  102.00000  102.33333  103.00000    55    9727   54.50000   54.50000   55.50000
0000135  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9552    9553  102.00000  102.66667  103.00000    55    9727   54.50000   54.50000   55.50000
0000136  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9553    9554  103.00000  103.00000  104.00000    55    9728   54.50000   54.50000   55.50000
0000137  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9553    9554  103.00000  103.33333  104.00000    55    9728   54.50000   54.50000   55.50000
0000138  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9553    9554  103.00000  103.66667  104.00000    55    9728   54.50000   54.50000   55.50000
0000139  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9554    9555  104.00000  104.00000  105.00000    55    9729   54.50000   54.50000   55.50000
0000140  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9554    9555  104.00000  104.33333  105.00000    55    9729   54.50000   54.50000   55.50000
0000141  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9554    9555  104.00000  104.66667  105.00000    55    9729   54.50000   54.50000   55.50000
0000142  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   106    9555    9556  105.00000  105.00000  106.00000    55    9730   54.50000   54.50000   55.50000
0000143  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   106    9555    9556  105.00000  105.33333  106.00000    55    9730   54.50000   54.50000   55.50000
0000144  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   106    9555    9556  105.00000  105.66667  106.00000    55    9730   54.50000   54.50000   55.50000
